"schema_version","case_id","title_en","title_zh","chart_family","chart_subfamily","aliases_en","aliases_zh","scientific_intents","required_roles","optional_roles","annotations","layouts","required_packages","optional_packages","qa_status","distribution_status","synthetic_test_fixture"
"1","authentic-palmer-penguins-scatter","Palmer Penguins bill measurements","帕尔默企鹅喙部测量散点图","scatter","fitted_scatter","penguins scatter|bill measurements|species regression","企鹅散点图|喙部测量|物种拟合","association|morphology|species comparison","predictor:numeric:continuous|response:numeric:continuous|group:character:categorical","size:numeric:continuous|sex:character:categorical","fitted_line","single_panel","ggplot2","","verified","public_ready",FALSE
"1","authentic-usgs-earthquakes-bubble","January 2024 magnitude 5+ earthquakes","2024年1月5级以上地震气泡图","scatter","bubble","earthquake bubble|magnitude depth|seismic events","地震气泡图|震级深度|地震事件","event overview|magnitude|depth|time","time:datetime:temporal|depth:numeric:continuous|magnitude:numeric:continuous","label:character:categorical","size_encoding|color_encoding","single_panel","ggplot2","","verified","public_ready",FALSE
"1","authentic-world-bank-population-timeseries","World Bank population time series","世界银行人口时序图","time_series","longitudinal","population trend|country time series|World Bank population","人口趋势|国家时序|世界银行人口","longitudinal comparison|population|country comparison","time:integer:temporal|estimate:numeric:continuous|group:character:categorical","identifier:character:identifier","direct_points","single_panel","ggplot2","","verified","public_ready",FALSE
"1","public-bar-grouped","Grouped response bar chart","分组响应柱状图","bar","grouped_stacked","grouped bar|bar chart|condition comparison","分组柱状图|柱形图|条件比较","group comparison|condition effect","treatment:character:categorical|response:numeric:continuous|condition:character:categorical","","value_axis","single_panel","ggplot2","","review_required","public_ready",TRUE
"1","public-correlation-heatmap","Signed correlation heatmap","有符号相关性热图","heatmap","correlation","correlation heatmap|matrix|tile plot","相关性热图|相关矩阵|热图","pairwise association|matrix overview","variable_x:character:categorical|variable_y:character:categorical|correlation:numeric:continuous","","cell_value","matrix","ggplot2","","review_required","public_ready",TRUE
"1","public-distribution-raincloud","Layered distribution comparison","分层分布比较图","distribution","box_violin_raincloud","raincloud|violin plot|boxplot","雨云图|小提琴图|箱线图","distribution comparison|group variability","group:character:categorical|value:numeric:continuous|sample_id:character:identifier","","median|individual observations","single_panel","ggplot2","","review_required","public_ready",TRUE
"1","public-enrichment-bubble","Enrichment bubble summary","富集分析气泡汇总图","enrichment","bubble","enrichment bubble|GO bubble|dot plot","富集气泡图|GO气泡图|点图","pathway enrichment|term prioritization","term:character:categorical|gene_ratio:numeric:continuous|adjusted_p:numeric:continuous|count:integer:continuous|category:character:categorical","","significance_color|count_size","faceted","ggplot2","","review_required","public_ready",TRUE
"1","public-gene-structure","Gene feature structure track","基因特征结构轨道图","gene_structure","feature_track","gene structure|motif track|domain diagram","基因结构|motif图|结构域图","feature architecture|coordinate comparison","gene:character:categorical|feature:character:categorical|start:numeric:continuous|end:numeric:continuous|strand:character:categorical|track:integer:categorical","","feature_color|strand","aligned_tracks","ggplot2","","review_required","public_ready",TRUE
"1","public-multipanel","Faceted multi-panel response display","分面多面板响应图","composition","multi_panel","multi panel|faceted plot|small multiples","多面板|分面图|小多图","multi-context comparison|panel composition","panel:character:categorical|x:numeric:continuous|y:numeric:continuous|group:character:categorical|lower:numeric:continuous|upper:numeric:continuous","","uncertainty_band","faceted|multi_panel","ggplot2","","review_required","public_ready",TRUE
"1","public-network","Deterministic node-edge network","确定性节点边网络图","network","node_edge","network graph|node edge|interaction network","网络图|节点边图|互作网络","relationship topology|group connectivity","record_type:character:categorical|node_id:character:identifier|x:numeric:continuous|y:numeric:continuous","node_label:character:categorical|group:character:categorical|source:character:identifier|target:character:identifier","node_label|group_color","deterministic_coordinates","ggplot2","","review_required","public_ready",TRUE
"1","public-phylogeny-annotation","Annotated phylogeny layout","带注释进化树布局","tree","phylogeny_annotation","phylogenetic tree|tree annotation|cladogram","进化树|树注释|系统发育树","hierarchy|tip group annotation","node:character:identifier|parent:character:identifier|x:numeric:continuous|y:numeric:continuous|label:character:categorical|clade:character:categorical|is_tip:logical:categorical","","tip_label|clade_color","rectangular_tree","ggplot2","","review_required","public_ready",TRUE
"1","public-scatter-fit","Scatter plot with fitted trend","带拟合趋势的散点图","scatter","fitted_scatter","scatter|regression|trend","散点图|拟合图|回归趋势","association|trend","predictor:numeric:continuous|response:numeric:continuous","group:character:categorical|label:character:categorical","fitted_line|confidence_band","single_panel|faceted","ggplot2","","review_required","public_ready",TRUE
"1","public-survival","Survival curve with confidence interval","带置信区间的生存曲线","survival","kaplan_meier","survival curve|Kaplan Meier|time to event","生存曲线|Kaplan-Meier曲线|事件时间","time to event|group survival comparison","group:character:categorical|time:numeric:temporal|survival:numeric:continuous|lower:numeric:continuous|upper:numeric:continuous","","confidence_interval","single_panel","ggplot2","","review_required","public_ready",TRUE
"1","public-timeseries-band","Time series with uncertainty band","带不确定性带的时序图","time_series","uncertainty_band","time series|line chart|confidence band","时序图|折线图|置信带","longitudinal trend|uncertainty comparison","time:numeric:temporal|estimate:numeric:continuous|lower:numeric:continuous|upper:numeric:continuous|group:character:categorical","","uncertainty_band","single_panel","ggplot2","","review_required","public_ready",TRUE
"1","public-volcano","Differential-feature volcano plot","差异特征火山图","omics","volcano","volcano plot|differential features|fold change","火山图|差异分析|倍数变化","differential screening|effect significance","feature:character:identifier|log2_fold_change:numeric:continuous|adjusted_p:numeric:continuous|class:character:categorical","","thresholds|feature_class","single_panel","ggplot2","","review_required","public_ready",TRUE
